from_station_code,Train_name,zone,chair_car,second_ac,first_ac,first_class,third_ac,sleeper,total no of classes ,from_station_name,number,arrival,departure,return_train,to_station_code,to_station_name,duration_m,duration_h,type,distance
,,,,,,,,,0,,,,,,,,,,,
JAT,Jammu Tawi Udhampur Special,NR,0,0,0,0,0,0,0,JAMMU TAWI,4601,12:15:00,10:40:00,4602,UHP,UDHAMPUR,35,1,DEMU,53
,,,,,,,,,0,,,,,,,,,,,
UHP,UDHAMPUR JAMMUTAWI DMU,NR,0,0,0,0,0,0,0,UDHAMPUR,4602,08:35:00,06:45:00,4601,JAT,JAMMU TAWI,50,1,DEMU,53
,,,,,,,,,0,,,,,,,,,,,
JAT,JAT UDAHMPUR DMU,NR,0,0,0,0,0,0,0,JAMMU TAWI,4603,17:50:00,16:15:00,4604,UHP,UDHAMPUR,35,1,DEMU,53
,,,,,,,,,0,,,,,,,,,,,
UHP,UDHAMPUR JAMMUTAWI DMU,NR,0,0,0,0,0,0,0,UDHAMPUR,4604,19:50:00,18:20:00,4603,JAT,JAMMU TAWI,30,1,DEMU,53
,,,,,,,,,0,,,,,,,,,,,
BDTS,Mumbai BandraT-Bikaner SF Special,NWR,0,1,0,0,1,1,3,MUMBAI BANDRA TERMINUS,4728,12:30:00,14:35:00,4727,BKN,BIKANER JN,55,21,SF,1212
,,,,,,,,,0,,,,,,,,,,,
SSA,Sirsa - Hisar Passenger Special,?,0,0,0,0,0,0,0,Sirsa,4741,00:25:00,22:50:00,4742,HSR,Hisar,35,1,Pass,82
,,,,,,,,,0,,,,,,,,,,,
HSR,Hisar - Sirsa Passenger Special,?,0,0,0,0,0,0,0,Hisar,4742,06:10:00,04:20:00,4741,SSA,Sirsa,50,1,Pass,82
,,,,,,,,,0,,,,,,,,,,,
DNA,Rewari Degana Merta Special,NWR,0,0,0,0,0,0,0,DEGANA JN,4853,23:45:00,22:30:00,4854,MTD,MERTA ROAD JN,15,1,Pass,44
,,,,,,,,,0,,,,,,,,,,,
MTD,Degana Merta Special,NWR,0,0,0,0,0,0,0,MERTA ROAD JN,4854,04:40:00,03:40:00,4853,DNA,DEGANA JN,0,1,Pass,44
,,,,,,,,,0,,,,,,,,,,,
JAT,JAMMU TAWI - BANDRA TERMINUS AC Suvidha Special (Starts 5 April),WR,0,1,1,0,1,1,4,JAMMU TAWI,9022,17:50:00,09:30:00,9021,BDTS,MUMBAI BANDRA TERMINUS,20,32,SF,1957
,,,,,,,,,0,,,,,,,,,,,
DR,Chalukya Express,CR,0,1,0,0,1,1,3,MUMBAI DADAR CENTRAL,11017,21:55:00,21:30:00,11018,YPR,YESVANTPUR JN,25,24,Exp,1205
,,,,,,,,,0,,,,,,,,,,,
CSTM,Konark Express,CR,0,1,0,0,1,1,3,MUMBAI CST,11019,04:25:00,15:10:00,11020,BBS,BHUBANESWAR,15,37,Exp,1932
,,,,,,,,,0,,,,,,,,,,,
BBS,Konark Express,CR,0,1,0,0,1,1,3,BHUBANESWAR,11020,03:55:00,15:20:00,11019,CSTM,MUMBAI CST,35,36,Exp,1932
,,,,,,,,,0,,,,,,,,,,,
CSTM,Sahyadri Express,CR,0,1,0,0,1,1,3,MUMBAI CST,11023,06:05:00,17:50:00,11024,KOP,C SHAHU M RAJ KOLHAPUR TERM,15,12,Exp,518
,,,,,,,,,0,,,,,,,,,,,
KOP,Sahyadri Express,CR,0,1,0,0,1,1,3,C SHAHU M RAJ KOLHAPUR TERM,11024,11:55:00,22:50:00,11023,CSTM,MUMBAI CST,5,13,Exp,518
,,,,,,,,,0,,,,,,,,,,,
MMR,Manmad Pune Express(Via Nasik),CR,1,0,0,0,0,0,1,MANMAD JN,11025,12:05:00,04:30:00,11026,PUNE,PUNE JN,35,7,Exp,364
,,,,,,,,,0,,,,,,,,,,,
PUNE,Pune Manmad Express,CR,1,0,0,0,0,0,1,PUNE JN,11026,21:30:00,12:50:00,11025,MMR,MANMAD JN,40,8,Exp,364
,,,,,,,,,0,,,,,,,,,,,
CSTM,Mumbai CST-Chennai Mail,CR,0,1,0,0,1,1,3,MUMBAI CST,11027,04:55:00,23:45:00,11028,MAS,CHENNAI CENTRAL,10,29,Mail,1283
,,,,,,,,,0,,,,,,,,,,,
CSTM,Koyna Express,CR,1,0,0,0,0,0,1,MUMBAI CST,11029,20:25:00,08:40:00,11030,KOP,C SHAHU M RAJ KOLHAPUR TERM,45,11,Exp,518
,,,,,,,,,0,,,,,,,,,,,
KOP,Koyna Express,CR,1,0,0,0,0,0,1,C SHAHU M RAJ KOLHAPUR TERM,11030,20:22:00,07:55:00,11029,CSTM,MUMBAI CST,27,12,Exp,518
,,,,,,,,,0,,,,,,,,,,,
PUNE,PUNE - DARBHANGA Gyan Ganga Exp,CR,0,1,0,0,1,1,3,PUNE JN,11033,06:45:00,16:15:00,11034,DBG,DARBHANGA JN,30,38,Exp,1948
,,,,,,,,,0,,,,,,,,,,,
DR,Dadar-Mysore Sharavati Express,CR,0,1,0,0,1,1,3,MUMBAI DADAR CENTRAL,11035,21:45:00,21:30:00,11036,MYS,MYSORE JN,15,24,Exp,1212
,,,,,,,,,0,,,,,,,,,,,
MYS,Mysore-Dadar Sharavati Express,CR,0,1,0,0,1,1,3,MYSORE JN,11036,05:50:00,06:15:00,11035,DR,MUMBAI DADAR CENTRAL,35,23,Exp,1212
,,,,,,,,,0,,,,,,,,,,,
PUNE,PUNE - GORAKHPUR Exp,CR,0,1,0,0,1,1,3,PUNE JN,11037,01:15:00,16:15:00,11038,GKP,GORAKHPUR JN,0,33,Exp,1771
,,,,,,,,,0,,,,,,,,,,,
GKP,GORAKHPUR - PUNE Exp,CR,0,1,0,0,1,1,3,GORAKHPUR JN,11038,04:05:00,15:30:00,11037,PUNE,PUNE JN,35,36,Exp,1771
,,,,,,,,,0,,,,,,,,,,,
KOP,Maharashtra Express,CR,0,1,0,0,1,1,3,C SHAHU M RAJ KOLHAPUR TERM,11039,20:15:00,15:30:00,11040,G,GONDIA JN,45,28,Exp,1346
,,,,,,,,,0,,,,,,,,,,,
KOP,Kolhapur-Gorakhpur Express Slip,CR,0,0,0,0,0,1,1,C SHAHU M RAJ KOLHAPUR TERM,11039-Slip,19:10:00,15:30:00,,GKP,GORAKHPUR JN,40,51,Exp,2107
,,,,,,,,,0,,,,,,,,,,,
G,Maharashtra Express,CR,0,1,0,0,1,1,3,GONDIA JN,11040,12:45:00,08:20:00,11039,KOP,C SHAHU M RAJ KOLHAPUR TERM,25,28,Exp,1346
,,,,,,,,,0,,,,,,,,,,,
G,Gondia-Solapur Maharashtra Express Slip,CR,0,0,0,0,0,1,1,GONDIA JN,11040-Slip,08:50:00,08:20:00,,SUR,SOLAPUR JN,30,24,Exp,1132
,,,,,,,,,0,,,,,,,,,,,
CSTM,Mumbai - Chennai Express,CR,0,1,0,0,1,1,3,MUMBAI CST,11041,16:45:00,14:00:00,11042,MAS,CHENNAI CENTRAL,45,26,Exp,1283
,,,,,,,,,0,,,,,,,,,,,
LTT,MUMBAI LTT - MADURAI Exp,CR,0,1,0,0,1,1,3,LOKMANYA TILAK TERM,11043,12:30:00,00:15:00,11044,MDU,MADURAI JN,15,36,Exp,1702
,,,,,,,,,0,,,,,,,,,,,
MDU,MADURAI - MUMBAI LTT Exp,CR,0,1,0,0,1,1,3,MADURAI JN,11044,05:45:00,18:00:00,11043,LTT,LOKMANYA TILAK TERM,45,35,Exp,1702
,,,,,,,,,0,,,,,,,,,,,
KOP,KOLHAPUR CSMT - DHANBAD Deekshabhoomi Exp,CR,0,0,0,0,1,1,2,C SHAHU M RAJ KOLHAPUR TERM,11045,12:00:00,23:45:00,11046,DHN,DHANBAD JN,15,60,Exp,2968
,,,,,,,,,0,,,,,,,,,,,
MRJ,Hubli Express,CR,0,0,0,0,0,1,1,MIRAJ JN,11047,06:25:00,00:10:00,11048,UBL,HUBLI JN,15,6,Exp,279
,,,,,,,,,0,,,,,,,,,,,
UBL,Hubli Miraj Express,CR,0,0,0,0,0,1,1,HUBLI JN,11048,05:15:00,23:00:00,11047,MRJ,MIRAJ JN,15,6,Exp,279
,,,,,,,,,0,,,,,,,,,,,
ADI,Ahmedabad-Kolhapur Express,CR,0,1,0,0,1,1,3,AHMEDABAD JN,11049,15:25:00,19:30:00,11050,KOP,C SHAHU M RAJ KOLHAPUR TERM,55,19,Exp,961
,,,,,,,,,0,,,,,,,,,,,
KOP,Kolhapur-Ahmedabad Express,CR,0,1,0,0,1,1,3,C SHAHU M RAJ KOLHAPUR TERM,11050,07:45:00,12:50:00,11049,ADI,AHMEDABAD JN,55,18,Exp,961
,,,,,,,,,0,,,,,,,,,,,
SUR,Solapur-Kolhapur Express,CR,0,0,0,0,1,1,2,SOLAPUR JN,11051,14:15:00,08:10:00,11052,KOP,C SHAHU M RAJ KOLHAPUR TERM,5,6,Exp,315
,,,,,,,,,0,,,,,,,,,,,
KOP,Kolhapur Solapur Express,CR,0,0,0,0,1,1,2,C SHAHU M RAJ KOLHAPUR TERM,11052,15:00:00,08:45:00,11051,SUR,SOLAPUR JN,15,6,Exp,315
